tile_index,ra,dec
102042914,52.3430863,-28.99915
102042914,52.3430863,-28.99915
102042915,52.9120329,-29.0
102042915,52.9120329,-29.0
102042915,52.9120329,-29.0
102042915,52.9120329,-29.0
102042916,53.4809795,-29.0
102042916,53.4809795,-29.0
102042916,53.4809795,-29.0
102042916,53.4809795,-29.0
102042917,54.0499261,-29.0
102042917,54.0499261,-29.0
102042917,54.0499261,-29.0
102042917,54.0499261,-29.0
102042918,54.6188727,-29.0
102042918,54.6188727,-29.0
102042918,54.6188727,-29.0
102042918,54.6188727,-29.0
102042919,55.1878193,-29.0
102042919,55.1878193,-29.0
102042919,55.1878193,-29.0
102042919,55.1878193,-29.0
102043545,50.9656523,-28.5
102043545,50.9656523,-28.5
102043545,50.9656523,-28.5
102043545,50.9656523,-28.5
102043546,51.5319373,-28.5
102043546,51.5319373,-28.5
102043546,51.5319373,-28.5
102043546,51.5319373,-28.5
102043547,52.0982223,-28.49645
102043547,52.0982223,-28.49645
102043547,52.0982223,-28.49645
102043547,52.0982223,-28.49645
102043548,52.6645074,-28.5
102043548,52.6645074,-28.5
102043548,52.6645074,-28.5
102043548,52.6645074,-28.5
102043549,53.2307924,-28.5
102043549,53.2307924,-28.5
102043549,53.2307924,-28.5
102043549,53.2307924,-28.5
102043550,53.7970774,-28.5
102043550,53.7970774,-28.5
102043550,53.7970774,-28.5
102043550,53.7970774,-28.5
102043551,54.3633624,-28.5
102043551,54.3633624,-28.5
102043551,54.3633624,-28.5
102043551,54.3633624,-28.5
102043552,54.9296475,-28.5
102043552,54.9296475,-28.5
102043552,54.9296475,-28.5
102043552,54.9296475,-28.5
102043553,55.4959325,-28.5
102043553,55.4959325,-28.5
102043553,55.4959325,-28.5
102043553,55.4959325,-28.5
102044181,50.7321876,-28.0
102044181,50.7321876,-28.0
102044181,50.7321876,-28.0
102044181,50.7321876,-28.0
102044182,51.2958786,-28.0
102044182,51.2958786,-28.0
102044182,51.2958786,-28.0
102044182,51.2958786,-28.0
102044183,51.8595696,-28.0
102044183,51.8595696,-28.0
102044183,51.8595696,-28.0
102044183,51.8595696,-28.0
102044184,52.4232605,-28.0
102044184,52.4232605,-28.0
102044184,52.4232605,-28.0
102044184,52.4232605,-28.0
102044185,52.9869515,-28.0
102044185,52.9869515,-28.0
102044185,52.9869515,-28.0
102044185,52.9869515,-28.0
102044186,53.5506425,-28.0
102044186,53.5506425,-28.0
102044186,53.5506425,-28.0
102044186,53.5506425,-28.0
102044187,54.1143334,-28.0
102044187,54.1143334,-28.0
102044187,54.1143334,-28.0
102044187,54.1143334,-28.0
102044188,54.6780244,-28.0
102044188,54.6780244,-28.0
102044188,54.6780244,-28.0
102044188,54.6780244,-28.0
102044189,55.2417154,-28.0158
102044189,55.2417154,-28.0158
102044189,55.2417154,-28.0158
102044189,55.2417154,-28.0158
102044820,50.5046807,-27.5
102044820,50.5046807,-27.5
102044820,50.5046807,-27.5
102044820,50.5046807,-27.5
102044821,51.0658438,-27.5
102044821,51.0658438,-27.5
102044821,51.0658438,-27.5
102044821,51.0658438,-27.5
102044822,51.6270069,-27.5
102044822,51.6270069,-27.5
102044822,51.6270069,-27.5
102044822,51.6270069,-27.5
102044823,52.18817,-27.5
102044823,52.18817,-27.5
102044823,52.18817,-27.5
102044823,52.18817,-27.5
102044824,52.7493332,-27.5
102044824,52.7493332,-27.5
